Model,Silhouette,Davies-Bouldin,Train Time
K-Means (Sklearn),0.4455927122258406,1.0084204746750587,0.2685997486114502
DBSCAN (Sklearn),0.21734452378363597,0.7548388565736772,36.03863883018494
K-Medoids (Sklearn),0.330145919582952,1.0360216159352815,21.270341634750366
K-Means (From Scratch),0.3351378626251363,1.3612635609307813,25.58411431312561
DBSCAN (From Scratch),0.21734452378363597,0.7548388565736772,972.4240245819092
CLARANS (From Scratch),0.32224066402471113,1.0592075531655747,1688.5751807689667
