Method,N Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,Train Time (s)
KMEANS,3,0.3351378626251363,1.3612635609307813,39431.168757023406,25.58411431312561
DBSCAN,298,0.21734452378363597,0.7548388565736772,3527.9110078734416,972.4240245819092
CLARANS,3,0.32224066402471113,1.0592075531655747,38700.41757488272,1688.5751807689667
