Model,Implementation,accuracy,precision,recall,f1,train_time,predict_time
KNN,From Scratch,0.9528622754491018,0.7729809104258444,0.9257826239887443,0.8425096030729834,0.0,15088.746618032455
Decision Tree,From Scratch,0.9627784431137725,0.8375816993464053,0.9015124868097081,0.8683720142300525,11073.388108491898,0.09784150123596191
Random Forest,From Scratch,0.9521437125748503,0.7644865174985657,0.9373900809004573,0.8421551587928583,585.2611374855042,6.792937517166138
