timestamp,model,params,silhouette,db_index,ch_score,n_clusters,time
2026-01-09 15:34:15,DBSCAN,"{'eps': 0.15, 'min_samples': 20, 'n_jobs': -1}",0.2207412727997205,1.0599927478585471,404.81117361885015,21,47.73841881752014
2026-01-09 15:34:56,DBSCAN,"{'eps': 0.15, 'min_samples': 50, 'n_jobs': -1}",0.18908861221707385,1.5070737352930537,532.6823485459844,8,41.63763475418091
2026-01-09 15:36:03,DBSCAN,"{'eps': 0.2, 'min_samples': 5, 'n_jobs': -1}",0.21780036071420664,1.3388214668424216,456.64136710429636,34,66.28243041038513
2026-01-09 15:37:14,DBSCAN,"{'eps': 0.2, 'min_samples': 10, 'n_jobs': -1}",0.22628907664290074,1.254159083627549,574.3043963601814,24,71.28648853302002
2026-01-09 15:38:09,DBSCAN,"{'eps': 0.2, 'min_samples': 20, 'n_jobs': -1}",0.18593904132414385,1.200555754302544,548.3947217736014,19,55.44346022605896
2026-01-09 15:39:17,DBSCAN,"{'eps': 0.2, 'min_samples': 50, 'n_jobs': -1}",0.2023457979796623,1.3497810173799105,616.121150311847,9,68.15598368644714
2026-01-09 15:42:22,DBSCAN,"{'eps': 0.3, 'min_samples': 5, 'n_jobs': -1}",0.3588098267966074,1.381706428733158,1012.4876790964701,7,184.4995141029358
2026-01-09 15:45:18,DBSCAN,"{'eps': 0.3, 'min_samples': 10, 'n_jobs': -1}",0.3582704211320084,1.4268777141785205,996.6197192879837,7,175.97469997406006
2026-01-09 15:48:24,DBSCAN,"{'eps': 0.3, 'min_samples': 20, 'n_jobs': -1}",0.3663407067749129,1.6109056718151002,1149.6351705032591,6,185.86195135116577
2026-01-09 15:51:20,DBSCAN,"{'eps': 0.3, 'min_samples': 50, 'n_jobs': -1}",0.2871310390295825,1.4322432417155209,1227.9714962089417,5,175.8000886440277
2026-01-09 16:00:29,DBSCAN,"{'eps': 0.5, 'min_samples': 5, 'n_jobs': -1}",,,,0,548.9544751644135
2026-01-09 16:10:45,DBSCAN,"{'eps': 0.5, 'min_samples': 10, 'n_jobs': -1}",,,,0,616.186530828476
2026-01-09 16:21:05,DBSCAN,"{'eps': 0.5, 'min_samples': 20, 'n_jobs': -1}",,,,0,620.238422870636
2026-01-09 16:29:56,DBSCAN,"{'eps': 0.5, 'min_samples': 50, 'n_jobs': -1}",,,,0,530.8244848251343
