timestamp,model,params,mean_f1,std_f1,time_taken
2026-01-09 12:20:41,KNN,"{'metric': 'manhattan', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.9726864816224724,0.004346830819206651,102.2255506515503
2026-01-09 12:22:24,KNN,"{'metric': 'manhattan', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.9634923812064778,0.0023734944861476697,102.66991329193115
2026-01-09 12:23:54,KNN,"{'metric': 'manhattan', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.9711388677140853,0.00397138555687375,90.13237285614014
2026-01-09 12:25:26,KNN,"{'metric': 'manhattan', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.9634923812064778,0.0023734944861476697,91.54021453857422
2026-01-09 12:27:11,KNN,"{'metric': 'manhattan', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.9711388677140853,0.00397138555687375,105.55130434036255
2026-01-09 12:28:56,KNN,"{'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.9607412284488361,0.0019026633043668889,105.17829585075378
2026-01-09 12:30:45,KNN,"{'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.9696941595877432,0.003760570613087539,108.8987762928009
2026-01-09 12:32:20,KNN,"{'metric': 'manhattan', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.9607412284488361,0.0019026633043668889,95.07321500778198
2026-01-09 12:33:56,KNN,"{'metric': 'manhattan', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.9696941595877432,0.003760570613087539,95.43607473373413
2026-01-09 12:35:39,KNN,"{'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.9585156957330898,0.0012321063717934094,103.0736632347107
2026-01-09 12:37:47,KNN,"{'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.9684956068732736,0.0033533659639080286,128.23761534690857
2026-01-09 12:40:14,KNN,"{'metric': 'manhattan', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.9585156957330898,0.0012321063717934094,146.60599374771118
